experiment,method,coverage,avg_set_size,singleton_rate,empty_rate,top_1_accuracy,ece,nll,temperature,greedy_tau
cifar100_fine_resnet18_v1,indirect,0.9520999789237976,4.8125,0.40630000829696655,0.0,0.7555999755859375,0.0337710902094841,0.9480786919593811,1.2316807508468628,
cifar100_fine_resnet18_v1,greedy_mass_fixed,0.9685999751091003,13.806900024414062,0.4569000005722046,0.0,0.751800000667572,0.036167245358228683,0.9633021354675293,1.2192904949188232,
cifar100_fine_resnet18_v1,greedy_mass_calibrated,0.9521999955177307,8.881099700927734,0.5130000114440918,0.0,0.7483999729156494,0.03506696969270706,0.9642953872680664,1.223207712173462,0.9093957543373108
cifar100_fine_resnet18_v1,direct,0.9521999955177307,95.4136962890625,0.0,0.0,0.00989999994635582,1.8605031073093414e-05,4.6051716804504395,1.0,
cifar100_coarse_resnet18_v1,indirect,0.9508000016212463,1.9316999912261963,0.6025999784469604,0.0,0.8274000287055969,0.010447796434164047,0.5792942047119141,1.6848335266113281,
cifar100_coarse_resnet18_v1,greedy_mass_fixed,0.9772999882698059,3.5165998935699463,0.531000018119812,0.0,0.8288999795913696,0.013290303759276867,0.5803228616714478,1.655989646911621,
cifar100_coarse_resnet18_v1,greedy_mass_calibrated,0.9521999955177307,2.1387999057769775,0.6468999981880188,0.0,0.8356999754905701,0.01605301909148693,0.56101393699646,1.6740354299545288,0.8674569725990295
cifar100_coarse_resnet18_v1,direct,0.9526000022888184,19.249300003051758,0.0,0.0,0.049800001084804535,0.00160970538854599,2.995842456817627,1.0,
